YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOMT_GALLONS,SATL_GALLONS,SPAC_GALLONS,SLAT_GALLONS,SINT_GALLONS,TS_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,NATL_GALLONS,NPAC_GALLONS,NLAT_GALLONS,MAC_GALLONS,NINT_GALLONS,TN_GALLONS,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,SATL_COST,SPAC_COST,SLAT_COST,SINT_COST,TS_COST,NALA_COST,NDOM_COST,NDOMT_COST,NATL_COST,NPAC_COST,NLAT_COST,MAC_COST,NINT_COST,TN_COST,TDOMT_COST,TINT_COST,TOTAL_COST
2023,1,1,20368,G4,G4,Allegiant Air,3,0.00,16309434.00,0.00,0.00,0.00,0.00,16309434.00,0.00,199849.00,199849.00,17629.00,0.00,77289.00,0.00,94918.00,294767.00,16509283.00,94918.00,16604201.00,0.00,61415485.00,61415485.00,0.00,0.00,0.00,0.00,61415485.00,0.00,785442.00,785442.00,77109.00,0.00,320362.00,0.00,397471.00,1182913.00,62200927.00,397471.00,62598398.00
2023,1,1,20370,KAQ,KAQ,Kalitta Air LLC,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2692606.00,2692606.00,422948.00,2255519.00,594274.00,927757.00,4200498.00,6893104.00,2692606.00,4200498.00,6893104.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9144087.00,9144087.00,1364127.00,6582237.00,2100549.00,3472617.00,13519530.00,22663617.00,9144087.00,13519530.00,22663617.00
2023,1,1,20372,KLQ,KLQ,Kalitta Charters II,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92329.00,92329.00,439.00,0.00,2514.00,0.00,2953.00,95282.00,92329.00,2953.00,95282.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,364973.00,364973.00,2295.00,0.00,13068.00,0.00,15363.00,380336.00,364973.00,15363.00,380336.00
2023,1,1,20377,X9,X9,Omni Air International LLC,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,167068.00,167068.00,2306.00,101094.00,32943.00,2751882.00,2888225.00,3055293.00,167068.00,2888225.00,3055293.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,705551.00,705551.00,7064.00,375234.00,120893.00,9929098.00,10432289.00,11137840.00,705551.00,10432289.00,11137840.00
2023,1,1,20378,YV,YV,Mesa Airlines Inc.,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,1,1,20397,OH,OH,PSA Airlines Inc.,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,1,1,20398,MQ,MQ,Envoy Air,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,1,1,20401,3M,3M,Silver Airways,1,0.00,313732.00,151163.00,0.00,0.00,151163.00,464895.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,313732.00,151163.00,464895.00,0.00,1220866.00,1220866.00,630725.00,0.00,0.00,630725.00,1851591.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1220866.00,630725.00,1851591.00
2023,1,1,20405,N8,N8,National Air Cargo Group Inc d/ba National Airlines,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,497695.00,497695.00,723077.00,239234.00,0.00,325461.00,1287772.00,1785467.00,497695.00,1287772.00,1785467.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1866112.00,1866112.00,2739747.00,1101679.00,0.00,1153523.00,4994949.00,6861061.00,1866112.00,4994949.00,6861061.00
2023,1,1,20408,5V,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,240620.00,240620.00,0.00,0.00,0.00,0.00,240620.00,14095.00,77061.00,91156.00,0.00,0.00,0.00,0.00,0.00,91156.00,331776.00,0.00,331776.00,877170.00,0.00,877170.00,0.00,0.00,0.00,0.00,877170.00,51383.00,280922.00,332305.00,0.00,0.00,0.00,0.00,0.00,332305.00,1209475.00,0.00,1209475.00
